ì˙éû,âÆç™ó†é∫â∑[C], âÆç™ó†å∞îMïââ◊[W], è∞â∫é∫â∑[C], è∞â∫å∞îMïââ◊[W], äKíié∫é∫â∑[C], äKíié∫å∞îMïââ◊[W], 1Fãèä‘é∫â∑[C], 1Fãèä‘å∞îMïââ◊[W], 1Fë‰èäé∫â∑[C], 1Fë‰èäå∞îMïââ◊[W], 1Fòaé∫é∫â∑[C], 1Fòaé∫å∞îMïââ◊[W], 1Fâüì¸é∫â∑[C], 1Fâüì¸å∞îMïââ◊[W], 1FêÙñ èäé∫â∑[C], 1FêÙñ èäå∞îMïââ◊[W], 1FóÅé∫é∫â∑[C], 1FóÅé∫å∞îMïââ◊[W], 1FWCé∫â∑[C], 1FWCå∞îMïââ◊[W], 1FòLâ∫é∫â∑[C], 1FòLâ∫å∞îMïââ◊[W], 2FéÂêQé∫é∫â∑[C], 2FéÂêQé∫å∞îMïââ◊[W], 2Fâüì¸1é∫â∑[C], 2Fâüì¸1å∞îMïââ◊[W], 2Féqãüé∫1é∫â∑[C], 2Féqãüé∫1å∞îMïââ◊[W], 2Fâüì¸2é∫â∑[C], 2Fâüì¸2å∞îMïââ◊[W], 2Féqãüé∫2é∫â∑[C], 2Féqãüé∫2å∞îMïââ◊[W], 2Fâüì¸3é∫â∑[C], 2Fâüì¸3å∞îMïââ◊[W], 2Fó\îıé∫é∫â∑[C], 2Fó\îıé∫å∞îMïââ◊[W], 2FWCé∫â∑[C], 2FWCå∞îMïââ◊[W], 2FòLâ∫é∫â∑[C], 2FòLâ∫å∞îMïââ◊[W], 
1999/07/21 0:30:00,24.9721423982077, 0, 28.133135214482, 0, 28.5040167024321, 0, 26.3851307920679, 0, 26.4368767083885, 0, 26.561775303249, 0, 27.5253872717829, 0, 28.3456233101829, 0, 28.3738546091248, 0, 28.1975042961401, 0, 27.1722810443926, 0, 26.2402260234015, 0, 26.5673296107302, 0, 26.2995360390196, 0, 26.7239987016572, 0, 26.7894029314051, 0, 26.8469483326154, 0, 26.3292878575088, 0, 27.2713800705439, 0, 26.8976516049624, 0, 
1999/07/21 1:30:00,24.2855724819783, 0, 28.0837706540363, 0, 28.110186434697, 0, 26.309789317463, 0, 26.4001396576497, 0, 26.5113688555675, 0, 27.3039681644156, 0, 27.9541625201916, 0, 28.0311440487545, 0, 27.8517156784365, 0, 27.0163785551525, 0, 26.1317827803432, 0, 26.4314033840006, 0, 26.2026459865347, 0, 26.6244124244253, 0, 26.7036135834911, 0, 26.6930844504853, 0, 26.2285739331711, 0, 27.0352506168816, 0, 26.7412604891039, 0, 
1999/07/21 2:30:00,24.3873709257964, 0, 28.0847795379663, 0, 27.7728435275476, 0, 26.2598496930663, 0, 26.3674123242095, 0, 26.4705379692819, 0, 27.116844879018, 0, 27.643184569118, 0, 27.7389765545791, 0, 27.5706498882932, 0, 26.8841985518491, 0, 26.0498034545159, 0, 26.3177640735405, 0, 26.1268033981759, 0, 26.5261905516863, 0, 26.6170449693135, 0, 26.5598803300808, 0, 26.1457519922854, 0, 26.8437205608606, 0, 26.6064758565761, 0, 
1999/07/21 3:30:00,24.1513341961566, 0, 28.0554598650647, 0, 27.4669011934523, 0, 26.1867758179479, 0, 26.3110996965845, 0, 26.4006103401142, 0, 26.9421111346421, 0, 27.3575449117321, 0, 27.4707519933622, 0, 27.3138698552466, 0, 26.7523734715114, 0, 25.9500035793073, 0, 26.2112790533528, 0, 26.031619875045, 0, 26.4233227907302, 0, 26.4946420877781, 0, 26.4307938663181, 0, 26.0426468479629, 0, 26.6594791749651, 0, 26.4661322056286, 0, 
1999/07/21 4:30:00,23.8627901379705, 0, 28.0244307540893, 0, 27.184355617789, 0, 26.0952258709454, 0, 26.235005351629, 0, 26.3084687679955, 0, 26.7738871459058, 0, 27.0925017370155, 0, 27.2212004730968, 0, 27.0759884300488, 0, 26.6184288861686, 0, 25.8344675092567, 0, 26.1038555451958, 0, 25.9196075994663, 0, 26.3115283785412, 0, 26.345945440447, 0, 26.2991114423731, 0, 25.9222519405334, 0, 26.4781867685486, 0, 26.3186030243362, 0, 
1999/07/21 5:30:00,24.0008522167088, 0, 28.0032659788846, 0, 26.9833983339351, 0, 26.0093226674278, 0, 26.1660182942985, 0, 26.2340069413536, 0, 26.6919935217239, 0, 26.9278474456855, 0, 27.1228221225141, 0, 26.9304033882441, 0, 26.50497012321, 0, 25.7578942593797, 0, 26.0097944113933, 0, 25.8748993617425, 0, 26.2306835313117, 0, 26.3299283333591, 0, 26.2330973599228, 0, 25.8614441388605, 0, 26.3695588895804, 0, 26.2064911094319, 0, 
1999/07/21 6:30:00,28.4608809430028, 0, 28.0280096834049, 0, 27.0624388595353, 0, 26.3562602005823, 0, 26.2814603419099, 0, 26.5545825443642, 0, 26.9017337069261, 0, 27.0593085701448, 0, 27.383900076662, 0, 27.0965609710328, 0, 26.5454234580953, 0, 26.1333817105242, 0, 26.1642144331885, 0, 26.2787698293296, 0, 26.3727103800397, 0, 26.8060802826377, 0, 26.4428711741533, 0, 26.160354126341, 0, 26.5816892757123, 0, 26.3379082629093, 0, 
1999/07/21 7:30:00,41.0139452441017, 0, 28.1624537262461, 0, 27.8104162667604, 0, 26, 963.037076852466, 26, 189.264245317293, 26, 567.949350736367, 27.5200618666673, 0, 27.8414994062185, 0, 28.1536153246426, 0, 28.0661126681103, 0, 26.8266124705679, 0, 26, 719.764774397408, 26.8497154763294, 0, 26, 474.513822579615, 26.8259680359923, 0, 26, 582.594269112175, 27.0374955825301, 0, 26, 364.971599924156, 27.5152025072589, 0, 26.7257955236391, 0, 
1999/07/21 8:30:00,47.8749093635097, 0, 28.3100477009155, 0, 28.8338187586532, 0, 26, 1259.14590810666, 26, 233.192791547118, 26, 678.42812271511, 28.281417690566, 0, 28.8447563142551, 0, 29.06184547162, 0, 29.1564169443594, 0, 27.2585179628309, 0, 26, 1053.39386585493, 27.7451392723002, 0, 26, 652.316706331488, 27.4242063182715, 0, 26, 665.169675002825, 27.7966060605932, 0, 26, 531.82043268841, 28.5418612573424, 0, 27.2835657834331, 0, 
1999/07/21 9:30:00,51.0403791259134, 0, 28.4362742061696, 0, 29.8915430993564, 0, 26, 1480.63023073336, 26, 282.778952892217, 26, 793.316714261068, 29.0135645408302, 0, 29.8433588454226, 0, 29.923411125285, 0, 30.1450698082944, 0, 27.7257210704442, 0, 26, 1265.92277637983, 28.5996253376343, 0, 26, 781.810178604826, 28.0100896077318, 0, 26, 776.742486065993, 28.5274545483019, 0, 26, 642.592376503616, 29.4441759550248, 0, 27.8461471744331, 0, 
1999/07/21 10:30:00,52.0888854146395, 0, 28.5143224800205, 0, 30.8265002977256, 0, 26, 1563.77888545623, 26, 305.436315476598, 26, 839.388501482468, 29.6095898925885, 0, 30.6880249222882, 0, 30.6221709388188, 0, 30.9275158193936, 0, 28.144381398982, 0, 26, 1351.22655372556, 29.2782395779348, 0, 26, 833.936701510885, 28.4893149308044, 0, 26, 817.087513649588, 29.1156532328375, 0, 26, 685.91513008936, 30.1254646363408, 0, 28.3146559204292, 0, 
1999/07/21 11:30:00,52.2118293765299, 0, 28.5591509971644, 0, 31.6097814968636, 0, 26, 1596.3454928529, 26, 316.016864077042, 26, 857.671288011433, 30.0425133506281, 0, 31.3600099317538, 0, 31.1537099632755, 0, 31.5488411900243, 0, 28.490737299388, 0, 26, 1380.35333276565, 29.7686588859531, 0, 26, 848.494106644283, 28.8446786525936, 0, 26, 827.790049720703, 29.5385015254573, 0, 26, 701.632544705664, 30.631920085435, 0, 28.6717412792716, 0, 
1999/07/21 12:30:00,51.612029027943, 0, 28.5546682529253, 0, 32.2516303126701, 0, 26, 1604.4854417983, 26, 324.923516326572, 26, 857.888198614511, 30.3551529139736, 0, 31.8764493199654, 0, 31.5967706414272, 0, 32.0519340065614, 0, 28.760794540832, 0, 26, 1380.68258678503, 30.1121831628782, 0, 26, 845.744959859059, 29.0970040064821, 0, 26, 831.994656016924, 29.8318227190259, 0, 26, 706.095534546739, 31.0089078113195, 0, 28.9222428429316, 0, 
1999/07/21 13:30:00,51.9662372962114, 0, 28.621417227924, 0, 32.8374776281092, 0, 26, 1663.48837345173, 26, 354.914951916515, 26, 879.764079305551, 30.637218733518, 0, 32.3844476413189, 0, 32.0374808382076, 0, 32.5482430230296, 0, 29.0139175552579, 0, 26, 1417.23028339355, 30.382845590725, 0, 26, 865.328039198531, 29.2913205907734, 0, 26, 867.52816920995, 30.0717835287238, 0, 26, 737.16637557147, 31.3662456634582, 0, 29.1433677660993, 0, 
1999/07/21 14:30:00,46.67835778886, 0, 28.6432060862668, 0, 33.0142681752779, 0, 26, 1378.92667659901, 26, 335.210700512602, 26, 721.490565485321, 30.6373755390407, 0, 32.513705419079, 0, 32.1227313971494, 0, 32.5298074992415, 0, 29.1099313062928, 0, 26, 1177.22475742356, 30.3341977337072, 0, 26, 723.449900423017, 29.2621262203031, 0, 26, 744.130494489917, 30.0360360232589, 0, 26, 632.224205277111, 31.252144997171, 0, 29.1730057542397, 0, 
1999/07/21 15:30:00,45.601376853318, 0, 28.6569354688177, 0, 33.1558845673913, 0, 26, 1354.53839596081, 26, 340.36252769073, 26, 706.511828838564, 30.6405036626073, 0, 32.6518941829246, 0, 32.2408706479726, 0, 32.6259682606664, 0, 29.1717165748724, 0, 26, 1137.65710059042, 30.2233880951221, 0, 26, 696.373700053844, 29.1885335928332, 0, 26, 741.467279044724, 29.9690212792732, 0, 26, 623.245555928214, 31.2364738531309, 0, 29.1590316893225, 0, 
1999/07/21 16:30:00,39.2055479753915, 0, 28.6406305431705, 0, 32.9517517796972, 0, 26, 1031.17695704512, 26, 292.156960614798, 26, 542.743030281239, 30.4152474287295, 0, 32.4703544827132, 0, 32.0466498943173, 0, 32.3132247549661, 0, 29.0956187803376, 0, 26, 866.438941294989, 29.8542486307198, 0, 26, 536.907456193692, 28.9440091967127, 0, 26, 599.602618799427, 29.6797397562095, 0, 26, 495.609062121272, 30.8474330755818, 0, 28.9855950626283, 0, 
